name,family,facet,variant,size,n_atoms,formula,n_fixed
Mo2C_(100),Mo2C,(100),base,"(2, 2, 4)",192,C64Mo128,96
Mo2C_(100)_vacC,Mo2C,(100),vacC,"(2, 2, 4)",191,C63Mo128,96
Mo2C_(100)_vac2C,Mo2C,(100),vac2C,"(2, 2, 4)",190,C62Mo128,96
Mo2C_(100)_dopPt,Mo2C,(100),dopPt,"(2, 2, 4)",192,C64Mo127Pt,96
Mo2C_(110),Mo2C,(110),base,"(1, 2, 4)",96,C32Mo64,48
Mo2C_(110)_vacC,Mo2C,(110),vacC,"(1, 2, 4)",95,C31Mo64,48
Mo2C_(110)_vac2C,Mo2C,(110),vac2C,"(1, 2, 4)",94,C30Mo64,48
Mo2C_(110)_dopPt,Mo2C,(110),dopPt,"(1, 2, 4)",96,C32Mo63Pt,48
Mo2C_(111),Mo2C,(111),base,"(1, 1, 4)",48,C16Mo32,24
Mo2C_(111)_vacC,Mo2C,(111),vacC,"(1, 1, 4)",47,C15Mo32,24
Mo2C_(111)_vac2C,Mo2C,(111),vac2C,"(1, 1, 4)",46,C14Mo32,24
Mo2C_(111)_dopPt,Mo2C,(111),dopPt,"(1, 1, 4)",48,C16Mo31Pt,24
Mo2N_(100),Mo2N,(100),base,"(2, 2, 4)",96,Mo64N32,48
Mo2N_(100)_vacN,Mo2N,(100),vacN,"(2, 2, 4)",95,Mo64N31,48
Mo2N_(100)_vac2N,Mo2N,(100),vac2N,"(2, 2, 4)",94,Mo64N30,48
Mo2N_(100)_dopPt,Mo2N,(100),dopPt,"(2, 2, 4)",96,Mo63N32Pt,48
Mo2N_(110),Mo2N,(110),base,"(2, 2, 4)",96,Mo64N32,48
Mo2N_(110)_vacN,Mo2N,(110),vacN,"(2, 2, 4)",95,Mo64N31,48
Mo2N_(110)_vac2N,Mo2N,(110),vac2N,"(2, 2, 4)",94,Mo64N30,48
Mo2N_(110)_dopPt,Mo2N,(110),dopPt,"(2, 2, 4)",96,Mo63N32Pt,48
Mo2N_(111),Mo2N,(111),base,"(2, 2, 4)",120,Mo80N40,64
Mo2N_(111)_vacN,Mo2N,(111),vacN,"(2, 2, 4)",119,Mo80N39,64
Mo2N_(111)_vac2N,Mo2N,(111),vac2N,"(2, 2, 4)",118,Mo80N38,64
Mo2N_(111)_dopPt,Mo2N,(111),dopPt,"(2, 2, 4)",120,Mo79N40Pt,64
MoB_(100),MoB,(100),base,"(1, 3, 4)",96,B48Mo48,48
MoB_(100)_vacB,MoB,(100),vacB,"(1, 3, 4)",95,B47Mo48,48
MoB_(100)_vac2B,MoB,(100),vac2B,"(1, 3, 4)",94,B46Mo48,48
MoB_(100)_dopPt,MoB,(100),dopPt,"(1, 3, 4)",96,B48Mo47Pt,48
MoB_(110),MoB,(110),base,"(1, 3, 4)",96,B48Mo48,48
MoB_(110)_vacB,MoB,(110),vacB,"(1, 3, 4)",95,B47Mo48,48
MoB_(110)_vac2B,MoB,(110),vac2B,"(1, 3, 4)",94,B46Mo48,48
MoB_(110)_dopPt,MoB,(110),dopPt,"(1, 3, 4)",96,B48Mo47Pt,48
MoB_(111),MoB,(111),base,"(2, 1, 4)",64,B32Mo32,32
MoB_(111)_vacB,MoB,(111),vacB,"(2, 1, 4)",63,B31Mo32,32
MoB_(111)_vac2B,MoB,(111),vac2B,"(2, 1, 4)",62,B30Mo32,32
MoB_(111)_dopPt,MoB,(111),dopPt,"(2, 1, 4)",64,B32Mo31Pt,32
MoS2_(100),MoS2,(100),base,"(3, 1, 4)",72,Mo24S48,36
MoS2_(100)_vacS,MoS2,(100),vacS,"(3, 1, 4)",71,Mo24S47,36
MoS2_(100)_vac2S,MoS2,(100),vac2S,"(3, 1, 4)",70,Mo24S46,36
MoS2_(100)_dopPt,MoS2,(100),dopPt,"(3, 1, 4)",72,Mo23PtS48,36
MoS2_(110),MoS2,(110),base,"(2, 1, 4)",48,Mo16S32,24
MoS2_(110)_vacS,MoS2,(110),vacS,"(2, 1, 4)",47,Mo16S31,24
MoS2_(110)_vac2S,MoS2,(110),vac2S,"(2, 1, 4)",46,Mo16S30,24
MoS2_(110)_dopPt,MoS2,(110),dopPt,"(2, 1, 4)",48,Mo15PtS32,24
MoS2_(111),MoS2,(111),base,"(2, 1, 4)",48,Mo16S32,24
MoS2_(111)_vacS,MoS2,(111),vacS,"(2, 1, 4)",47,Mo16S31,24
MoS2_(111)_vac2S,MoS2,(111),vac2S,"(2, 1, 4)",46,Mo16S30,24
MoS2_(111)_dopPt,MoS2,(111),dopPt,"(2, 1, 4)",48,Mo15PtS32,24
MoSe2_(100),MoSe2,(100),base,"(3, 1, 4)",72,Mo24Se48,36
MoSe2_(100)_vacSe,MoSe2,(100),vacSe,"(3, 1, 4)",71,Mo24Se47,36
MoSe2_(100)_vac2Se,MoSe2,(100),vac2Se,"(3, 1, 4)",70,Mo24Se46,36
MoSe2_(100)_dopPt,MoSe2,(100),dopPt,"(3, 1, 4)",72,Mo23PtSe48,36
MoSe2_(110),MoSe2,(110),base,"(2, 1, 4)",48,Mo16Se32,24
MoSe2_(110)_vacSe,MoSe2,(110),vacSe,"(2, 1, 4)",47,Mo16Se31,24
MoSe2_(110)_vac2Se,MoSe2,(110),vac2Se,"(2, 1, 4)",46,Mo16Se30,24
MoSe2_(110)_dopPt,MoSe2,(110),dopPt,"(2, 1, 4)",48,Mo15PtSe32,24
MoSe2_(111),MoSe2,(111),base,"(2, 1, 4)",48,Mo16Se32,24
MoSe2_(111)_vacSe,MoSe2,(111),vacSe,"(2, 1, 4)",47,Mo16Se31,24
MoSe2_(111)_vac2Se,MoSe2,(111),vac2Se,"(2, 1, 4)",46,Mo16Se30,24
MoSe2_(111)_dopPt,MoSe2,(111),dopPt,"(2, 1, 4)",48,Mo15PtSe32,24
MoP_(100),MoP,(100),base,"(3, 3, 4)",72,Mo36P36,36
MoP_(100)_vacP,MoP,(100),vacP,"(3, 3, 4)",71,Mo36P35,36
MoP_(100)_vac2P,MoP,(100),vac2P,"(3, 3, 4)",70,Mo36P34,36
MoP_(100)_dopPt,MoP,(100),dopPt,"(3, 3, 4)",72,Mo35P36Pt,36
MoP_(110),MoP,(110),base,"(2, 3, 4)",48,Mo24P24,24
MoP_(110)_vacP,MoP,(110),vacP,"(2, 3, 4)",47,Mo24P23,24
MoP_(110)_vac2P,MoP,(110),vac2P,"(2, 3, 4)",46,Mo24P22,24
MoP_(110)_dopPt,MoP,(110),dopPt,"(2, 3, 4)",48,Mo23P24Pt,24
MoP_(111),MoP,(111),base,"(2, 2, 4)",32,Mo16P16,16
MoP_(111)_vacP,MoP,(111),vacP,"(2, 2, 4)",31,Mo16P15,16
MoP_(111)_vac2P,MoP,(111),vac2P,"(2, 2, 4)",30,Mo16P14,16
MoP_(111)_dopPt,MoP,(111),dopPt,"(2, 2, 4)",32,Mo15P16Pt,16
Ti3C2O2_(100),Ti3C2O2,(100),base,"(3, 1, 4)",84,C24O24Ti36,42
Ti3C2O2_(100)_vacO,Ti3C2O2,(100),vacO,"(3, 1, 4)",83,C24O23Ti36,42
Ti3C2O2_(100)_vac2O,Ti3C2O2,(100),vac2O,"(3, 1, 4)",82,C24O22Ti36,42
Ti3C2O2_(100)_dopPt,Ti3C2O2,(100),dopPt,"(3, 1, 4)",84,C24O24PtTi35,42
Ti3C2O2_(110),Ti3C2O2,(110),base,"(2, 1, 4)",56,C16O16Ti24,28
Ti3C2O2_(110)_vacO,Ti3C2O2,(110),vacO,"(2, 1, 4)",55,C16O15Ti24,28
Ti3C2O2_(110)_vac2O,Ti3C2O2,(110),vac2O,"(2, 1, 4)",54,C16O14Ti24,28
Ti3C2O2_(110)_dopPt,Ti3C2O2,(110),dopPt,"(2, 1, 4)",56,C16O16PtTi23,28
Ti3C2O2_(111),Ti3C2O2,(111),base,"(2, 1, 4)",56,C16O16Ti24,28
Ti3C2O2_(111)_vacO,Ti3C2O2,(111),vacO,"(2, 1, 4)",55,C16O15Ti24,28
Ti3C2O2_(111)_vac2O,Ti3C2O2,(111),vac2O,"(2, 1, 4)",54,C16O14Ti24,28
Ti3C2O2_(111)_dopPt,Ti3C2O2,(111),dopPt,"(2, 1, 4)",56,C16O16PtTi23,28
